Currency,Date,Close,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-05-08T04:00:00.000Z,9424.99124,9326.76125,9454.91875,9188.65875
BTC,2018-05-09T04:00:00.000Z,9039.02875,9424.99124,9426.52,9003.135
BTC,2018-05-10T04:00:00.000Z,9327.04999,9039.02875,9360.41,8975.97374
BTC,2018-05-11T04:00:00.000Z,8920.25625,9327.04999,9383.295,8874.54
BTC,2018-05-12T04:00:00.000Z,8408.35875,8920.25625,9002.49,8350.12875
BTC,2018-05-13T04:00:00.000Z,8442.23875,8408.35875,8642.8025,8220.5175
BTC,2018-05-14T04:00:00.000Z,8398.86249,8442.23875,8758.58124,8343.305
BTC,2018-05-15T04:00:00.000Z,8711.38875,8398.86249,8878.945,8296.14125
BTC,2018-05-16T04:00:00.000Z,8159.25625,8711.38875,8835.5125,8110.32625
BTC,2018-05-17T04:00:00.000Z,8360.22875,8159.25625,8458.52625,8146.6825
BTC,2018-05-18T04:00:00.000Z,7996.82125,8360.22875,8373.22374,7931.42875
BTC,2018-05-19T04:00:00.000Z,8237.3425,7996.82125,8273.5375,7972.5875
BTC,2018-05-20T04:00:00.000Z,8250.395,8237.3425,8392.77125,8154.14625
BTC,2018-05-21T04:00:00.000Z,8493.13125,8250.395,8582.8025,8230.20999
BTC,2018-05-22T04:00:00.000Z,8324.025,8493.13125,8566.1375,8260.78125
BTC,2018-05-23T04:00:00.000Z,7951.51375,8324.025,8344.72374,7866.72875
BTC,2018-05-24T04:00:00.000Z,7614.96375,7951.51375,7951.8025,7442.241484
BTC,2018-05-25T04:00:00.000Z,7599.9525,7614.96375,7721.83125,7272.645
BTC,2018-05-26T04:00:00.000Z,7436.835,7599.9525,7651.105547,7335.300817
BTC,2018-05-27T04:00:00.000Z,7296.79625,7436.835,7617.84528,7226.65
BTC,2018-05-28T04:00:00.000Z,7383.2175,7296.79625,7431.44,7251.02
BTC,2018-05-29T04:00:00.000Z,7118.42375,7383.2175,7386.68,7043.282359
BTC,2018-05-30T04:00:00.000Z,7491.61125,7118.42375,7562.366729,7051.957839
BTC,2018-05-31T04:00:00.000Z,7363.27625,7491.61125,7541.095759,7282.183728
BTC,2018-05-31T23:00:00.615Z,7448.48274,7540.810522,7567.894687,7433.334379
BTC,2018-06-01T04:00:00.000Z,7490.62125,7363.27625,7614.063908,7361.565
BTC,2018-06-01T23:00:00.450Z,7518.333329,7494.065482,7599.180474,7393.287588
BTC,2018-06-02T23:00:00.042Z,7630.403388,7516.612569,7696.542926,7450.698017
BTC,2018-06-03T23:00:00.221Z,7716.145068,7638.232021,7774.829285,7600.263944
BTC,2018-06-04T22:59:59.379Z,7505.589277,7706.639829,7760.178308,7451.523947
BTC,2018-06-05T22:59:59.958Z,7624.187971,7505.589281,7671.307622,7361.002623
BTC,2018-06-11T23:00:00.901Z,6780.340803,6680.21686,6798.662936,6673.12368
BTC,2018-06-12T23:00:00.024Z,6525.329182,6870.410349,6907.50249,6465.076128
BTC,2018-06-13T22:59:59.236Z,6321.655965,6525.096386,6599.719555,6154.350129
BTC,2018-06-14T23:00:00.215Z,6601.324158,6296.326859,6671.788652,6270.445304
BTC,2018-06-15T23:00:00.290Z,6397.44117,6632.446195,6642.518193,6396.940015
BTC,2018-06-16T23:00:00.015Z,6529.544015,6397.44117,6544.614891,6329.190046
BTC,2018-06-17T23:00:00.226Z,6482.868697,6491.968323,6555.9438,6431.089233
BTC,2018-06-18T23:00:00.106Z,6711.64967,6442.528523,6772.249183,6382.442661
BTC,2018-06-19T23:00:59.756Z,6731.710147,6706.626795,6808.166271,6669.843567
BTC,2018-06-20T23:01:00.621Z,6736.867721,6735.936984,6806.363426,6569.906701
BTC,2018-06-21T22:59:59.517Z,6729.925937,6760.255096,6787.424078,6682.936194
BTC,2018-06-22T23:00:59.471Z,6099.445277,6729.498689,6729.900593,5987.768386
